Assignment 1,Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Date,Change,,grade,Source Points,Early/Late,Weighted Grade,ScanStringTestSuite:ScanString functions correctly,ScanningIteratorSuite:Scanning Iterator,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithStartingPeriodSuite:Terminating period forms complete line,IndexOfNotTestSuite:IndexOfNot functions correctly,IndexOfTestSuite:IndexOf functions correctly,TerminatesWithPeriodLineSuite:Handles Space After Period,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,Required Methods Called in Main or Iterator,IndexOf  Called in Iterator,indexOfNot Called in Main,IndexOfNot Called in Iterator,Iterator Methods Called in Main,Screenshots enclosed,Screenshots show tests,Illegal import or call,ScanStringTestSuite:ScanString functions correctly,ScanningIteratorSuite:Scanning Iterator,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithStartingPeriodSuite:Terminating period forms complete line,IndexOfNotTestSuite:IndexOfNot functions correctly,IndexOfTestSuite:IndexOf functions correctly,TerminatesWithPeriodLineSuite:Handles Space After Period,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,Required Methods Called in Main or Iterator,IndexOf  Called in Iterator,indexOfNot Called in Main,IndexOfNot Called in Iterator,Iterator Methods Called in Main,Screenshots enclosed,Screenshots show tests,Illegal import or call
0,Tue Aug 29 17:23:05 EDT 2017,80.0,,80.0,,1.05,84.0,15.0,0.0,30.0,10.0,5.0,0.0,0.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,ScanStringTestSuite:ScanString functions correctly     %.1f / 15.0,ScanningIteratorSuite:Scanning Iterator                %.1f / 30.0 (Extra credit),MultipleTokenSuite:Can process multiple tokens         %.1f / 30.0,InvalidCharacterSuite:Handles Invalid Characters       %.1f / 10.0 (Extra credit),TerminatesWithStartingPeriodSuite:Terminating period forms complete line %.1f /  5.0,IndexOfNotTestSuite:IndexOfNot functions correctly     %.1f /  5.0 (Extra credit),IndexOfTestSuite:IndexOf functions correctly           %.1f / 18.0,TerminatesWithPeriodLineSuite:Handles Space After Period %.1f /  5.0,SingleTokenSuite:Can process a single token            %.1f / 10.0,VariableSpaceSuite:Handles Variable Spaces             %.1f /  5.0 (Extra credit),Required Methods Called in Main or Iterator            %.1f / 15.0,IndexOf  Called in Iterator                            %.1f /  5.0 (Extra credit),indexOfNot Called in Main                              %.1f /  3.0 (Extra credit),IndexOfNot Called in Iterator                          %.1f /  3.0 (Extra credit),Iterator Methods Called in Main                        %.1f / 10.0 (Extra credit),Screenshots enclosed                                   %.1f /  5.0,Screenshots show tests                                 %.1f / 10.0,Illegal import or call                      %.1f /  -25.0
1,Tue Aug 29 17:23:53 EDT 2017,0.0,,80.0,,1.05,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tue Aug 29 17:27:11 EDT 2017,0.0,,80.0,,1.05,84.0,15.0,0.0,30.0,10.0,5.0,0.0,0.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,ScanStringTestSuite:ScanString functions correctly     %.1f / 15.0,ScanningIteratorSuite:Scanning Iterator                %.1f / 30.0 (Extra credit),MultipleTokenSuite:Can process multiple tokens         %.1f / 30.0,InvalidCharacterSuite:Handles Invalid Characters       %.1f / 10.0 (Extra credit),TerminatesWithStartingPeriodSuite:Terminating period forms complete line %.1f /  5.0,IndexOfNotTestSuite:IndexOfNot functions correctly     %.1f /  5.0 (Extra credit),IndexOfTestSuite:IndexOf functions correctly           %.1f / 18.0,TerminatesWithPeriodLineSuite:Handles Space After Period %.1f /  5.0,SingleTokenSuite:Can process a single token            %.1f / 10.0,VariableSpaceSuite:Handles Variable Spaces             %.1f /  5.0 (Extra credit),Required Methods Called in Main or Iterator            %.1f / 15.0,IndexOf  Called in Iterator                            %.1f /  5.0 (Extra credit),indexOfNot Called in Main                              %.1f /  3.0 (Extra credit),IndexOfNot Called in Iterator                          %.1f /  3.0 (Extra credit),Iterator Methods Called in Main                        %.1f / 10.0 (Extra credit),Screenshots enclosed                                   %.1f /  5.0,Screenshots show tests                                 %.1f / 10.0,Illegal import or call                      %.1f /  -25.0
3,Tue Aug 29 17:31:17 EDT 2017,0.0,,80.0,,1.05,84.0,15.0,0.0,30.0,10.0,5.0,0.0,0.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,ScanStringTestSuite:ScanString functions correctly     %.1f / 15.0,ScanningIteratorSuite:Scanning Iterator                %.1f / 30.0 (Extra credit),MultipleTokenSuite:Can process multiple tokens         %.1f / 30.0,InvalidCharacterSuite:Handles Invalid Characters       %.1f / 10.0 (Extra credit),TerminatesWithStartingPeriodSuite:Terminating period forms complete line %.1f /  5.0,IndexOfNotTestSuite:IndexOfNot functions correctly     %.1f /  5.0 (Extra credit),IndexOfTestSuite:IndexOf functions correctly           %.1f / 18.0,TerminatesWithPeriodLineSuite:Handles Space After Period %.1f /  5.0,SingleTokenSuite:Can process a single token            %.1f / 10.0,VariableSpaceSuite:Handles Variable Spaces             %.1f /  5.0 (Extra credit),Required Methods Called in Main or Iterator            %.1f / 15.0,IndexOf  Called in Iterator                            %.1f /  5.0 (Extra credit),indexOfNot Called in Main                              %.1f /  3.0 (Extra credit),IndexOfNot Called in Iterator                          %.1f /  3.0 (Extra credit),Iterator Methods Called in Main                        %.1f / 10.0 (Extra credit),Screenshots enclosed                                   %.1f /  5.0,Screenshots show tests                                 %.1f / 10.0,Illegal import or call                      %.1f /  -25.0
4,Tue Aug 29 17:32:03 EDT 2017,18.0,,98.0,,1.05,102.9,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tue Aug 29 17:37:56 EDT 2017,-18.0,,80.0,,1.05,84.0,15.0,0.0,30.0,10.0,5.0,0.0,0.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,ScanStringTestSuite:ScanString functions correctly     %.1f / 15.0,ScanningIteratorSuite:Scanning Iterator                %.1f / 30.0 (Extra credit),MultipleTokenSuite:Can process multiple tokens         %.1f / 30.0,InvalidCharacterSuite:Handles Invalid Characters       %.1f / 10.0 (Extra credit),TerminatesWithStartingPeriodSuite:Terminating period forms complete line %.1f /  5.0,IndexOfNotTestSuite:IndexOfNot functions correctly     %.1f /  5.0 (Extra credit),IndexOfTestSuite:IndexOf functions correctly           %.1f / 18.0,TerminatesWithPeriodLineSuite:Handles Space After Period %.1f /  5.0,SingleTokenSuite:Can process a single token            %.1f / 10.0,VariableSpaceSuite:Handles Variable Spaces             %.1f /  5.0 (Extra credit),Required Methods Called in Main or Iterator            %.1f / 15.0,IndexOf  Called in Iterator                            %.1f /  5.0 (Extra credit),indexOfNot Called in Main                              %.1f /  3.0 (Extra credit),IndexOfNot Called in Iterator                          %.1f /  3.0 (Extra credit),Iterator Methods Called in Main                        %.1f / 10.0 (Extra credit),Screenshots enclosed                                   %.1f /  5.0,Screenshots show tests                                 %.1f / 10.0,Illegal import or call                      %.1f /  -25.0
6,Tue Aug 29 17:38:37 EDT 2017,0.0,,80.0,,1.05,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tue Aug 29 17:43:33 EDT 2017,0.0,,80.0,,1.05,84.0,15.0,0.0,30.0,10.0,5.0,0.0,0.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,ScanStringTestSuite:ScanString functions correctly     %.1f / 15.0,ScanningIteratorSuite:Scanning Iterator                %.1f / 30.0 (Extra credit),MultipleTokenSuite:Can process multiple tokens         %.1f / 30.0,InvalidCharacterSuite:Handles Invalid Characters       %.1f / 10.0 (Extra credit),TerminatesWithStartingPeriodSuite:Terminating period forms complete line %.1f /  5.0,IndexOfNotTestSuite:IndexOfNot functions correctly     %.1f /  5.0 (Extra credit),IndexOfTestSuite:IndexOf functions correctly           %.1f / 18.0,TerminatesWithPeriodLineSuite:Handles Space After Period %.1f /  5.0,SingleTokenSuite:Can process a single token            %.1f / 10.0,VariableSpaceSuite:Handles Variable Spaces             %.1f /  5.0 (Extra credit),Required Methods Called in Main or Iterator            %.1f / 15.0,IndexOf  Called in Iterator                            %.1f /  5.0 (Extra credit),indexOfNot Called in Main                              %.1f /  3.0 (Extra credit),IndexOfNot Called in Iterator                          %.1f /  3.0 (Extra credit),Iterator Methods Called in Main                        %.1f / 10.0 (Extra credit),Screenshots enclosed                                   %.1f /  5.0,Screenshots show tests                                 %.1f / 10.0,Illegal import or call                      %.1f /  -25.0
8,Tue Aug 29 17:48:43 EDT 2017,0.0,,80.0,,1.05,84.0,15.0,0.0,30.0,10.0,5.0,0.0,0.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,ScanStringTestSuite:ScanString functions correctly     %.1f / 15.0,ScanningIteratorSuite:Scanning Iterator                %.1f / 30.0 (Extra credit),MultipleTokenSuite:Can process multiple tokens         %.1f / 30.0,InvalidCharacterSuite:Handles Invalid Characters       %.1f / 10.0 (Extra credit),TerminatesWithStartingPeriodSuite:Terminating period forms complete line %.1f /  5.0,IndexOfNotTestSuite:IndexOfNot functions correctly     %.1f /  5.0 (Extra credit),IndexOfTestSuite:IndexOf functions correctly           %.1f / 18.0,TerminatesWithPeriodLineSuite:Handles Space After Period %.1f /  5.0,SingleTokenSuite:Can process a single token            %.1f / 10.0,VariableSpaceSuite:Handles Variable Spaces             %.1f /  5.0 (Extra credit),Required Methods Called in Main or Iterator            %.1f / 15.0,IndexOf  Called in Iterator                            %.1f /  5.0 (Extra credit),indexOfNot Called in Main                              %.1f /  3.0 (Extra credit),IndexOfNot Called in Iterator                          %.1f /  3.0 (Extra credit),Iterator Methods Called in Main                        %.1f / 10.0 (Extra credit),Screenshots enclosed                                   %.1f /  5.0,Screenshots show tests                                 %.1f / 10.0,Illegal import or call                      %.1f /  -25.0
9,Wed Aug 30 12:02:48 EDT 2017,4.0,,84.0,,,84.0,15.0,0.0,30.0,10.0,5.0,0.0,,,,,,,,,,,,,ScanStringTestSuite:ScanString functions correctly     %.1f / 15.0,ScanningIteratorSuite:Scanning Iterator                %.1f / 30.0 (Extra credit),MultipleTokenSuite:Can process multiple tokens         %.1f / 30.0,InvalidCharacterSuite:Handles Invalid Characters       %.1f / 10.0 (Extra credit),TerminatesWithStartingPeriodSuite:Terminating period forms complete line %.1f /  5.0,IndexOfNotTestSuite:IndexOfNot functions correctly     %.1f /  5.0 (Extra credit),,,,,,,,,,,,
